# Time, Raw Flux, Corr Flux, PCA Flux, PSF Flux
2.188231180646111170e+03,1.016075259183561341e+00,1.000866316808092016e+00,1.001066197567629823e+00,1.001199239341939329e+00
2.188238124977461666e+03,1.013593018759788578e+00,9.994583514135718660e-01,9.996466548375073646e-01,1.000518959976644640e+00
2.188245069308718485e+03,1.014945428449313125e+00,1.000328881087418686e+00,1.000528510509106628e+00,1.000677600425127656e+00
2.188252013639871166e+03,1.015618126913272912e+00,1.001234957743316611e+00,1.001522557686556514e+00,1.001415661587137462e+00
2.188258957970906977e+03,1.015508971754384149e+00,1.001241773494866649e+00,1.001529815311011262e+00,1.001226731195515862e+00
2.188265902301810002e+03,1.015103229444629163e+00,1.000719605611545937e+00,1.000890837288393564e+00,1.000741472596249126e+00
2.188272846632570690e+03,1.015002001755380245e+00,1.000828343485391070e+00,1.001045335566481453e+00,1.001326714543003593e+00
2.188279790963175856e+03,1.014061487866030564e+00,1.000185697661143402e+00,1.000434497765337216e+00,1.000583559808464695e+00
2.188286735293612310e+03,1.015199329225194846e+00,1.000805008264149754e+00,1.001055089495367811e+00,1.001171544679180236e+00
2.188293679623866865e+03,1.014063095534698977e+00,1.000456392713642950e+00,1.000649340858327685e+00,1.000589731219597933e+00
2.188300623953931336e+03,1.014110632634113385e+00,1.000394210443043663e+00,1.000689218529922320e+00,1.000670857844101258e+00
2.188307568283790715e+03,1.013791177782362718e+00,1.002088850982353785e+00,1.002146174673102186e+00,1.000400928148173829e+00
2.188314512613434545e+03,1.014410906335546425e+00,1.000137202291999428e+00,1.000458552446093830e+00,1.001035993942740010e+00
2.188321456942851455e+03,1.014321597569182831e+00,9.996826773507115904e-01,9.999858433425878879e-01,1.001096342485899626e+00
2.188328401272031442e+03,1.014891931888455945e+00,1.000762734818021249e+00,1.001028497937406447e+00,1.001368389869752296e+00
2.188335345600960864e+03,1.014104562298969503e+00,1.000796339730705808e+00,1.001031519485857890e+00,1.001392667275278203e+00
2.188342289929633353e+03,1.013128347077814739e+00,9.999665544937802464e-01,1.000201899532648486e+00,1.001020605939091590e+00
2.188349234258036631e+03,1.014554709526078513e+00,9.995094798910839629e-01,9.997730034564750179e-01,1.001033181341643985e+00
