time,flux
1.449058032440647366e+03,9.998897910118103027e-01
1.449078865640139384e+03,1.000177502632141113e+00
1.449099698838890617e+03,1.000199317932128906e+00
1.449120532036889017e+03,1.000175952911376953e+00
1.449141365234163004e+03,1.000616192817687988e+00
1.449162198430700982e+03,9.998707175254821777e-01
1.449183031626532056e+03,9.999841451644897461e-01
1.449203864821645993e+03,1.000000357627868652e+00
1.449224698016062121e+03,1.000119209289550781e+00
1.449245531209800902e+03,1.000360369682312012e+00
1.449266364402853242e+03,9.999861717224121094e-01
1.449287197595250063e+03,1.000199556350708008e+00
1.449308030786982954e+03,1.000404357910156250e+00
1.449328863978084428e+03,1.000064849853515625e+00
1.449349697168547436e+03,1.000520229339599609e+00
1.449370530358404949e+03,1.000856757164001465e+00
1.449391363547650826e+03,1.000364542007446289e+00
1.449412196736319629e+03,1.000170826911926270e+00
1.449433029924407492e+03,1.000147700309753418e+00
1.449453863111949431e+03,1.000160574913024902e+00
1.449474696298942035e+03,1.000301003456115723e+00
1.449495529485413954e+03,1.000113129615783691e+00
1.449516362671392471e+03,9.998655319213867188e-01
1.449537195856876679e+03,1.000435233116149902e+00
1.449558029041907730e+03,9.993914365768432617e-01
1.449578862226486081e+03,1.000126004219055176e+00
1.449599695410653112e+03,9.992584586143493652e-01
1.449620528594413145e+03,9.994706511497497559e-01
1.449641361777810062e+03,1.000335574150085449e+00
1.449662194960848865e+03,9.998374581336975098e-01
1.449683028143577076e+03,9.998314976692199707e-01
1.449703861326001970e+03,9.993121623992919922e-01
1.449724694508173570e+03,9.998487830162048340e-01
1.449745527690102108e+03,9.997007250785827637e-01
1.449766360871840561e+03,9.989911913871765137e-01
1.449787194053402800e+03,9.995517730712890625e-01
1.449808027234844303e+03,9.996512532234191895e-01
1.449828860416183488e+03,9.993730783462524414e-01
1.449849693597469013e+03,9.995582699775695801e-01
1.449870526778752264e+03,9.992097616195678711e-01
1.449891359960057798e+03,9.994781613349914551e-01
1.449912193141450643e+03,9.989871978759765625e-01
1.449933026322958767e+03,9.989132881164550781e-01
1.449953859504653565e+03,9.992161393165588379e-01
1.451683020674728823e+03,1.000558376312255859e+00
1.451703853993285293e+03,1.000297427177429199e+00
1.451724687310219679e+03,1.000569343566894531e+00
1.451745520625523568e+03,1.000414133071899414e+00
1.451766353939150349e+03,1.000568509101867676e+00
1.451787187251096384e+03,1.000031590461730957e+00
1.451808020561323247e+03,1.000697493553161621e+00
1.451828853869833210e+03,1.000254392623901367e+00
1.451849687176591715e+03,1.000328540802001953e+00
1.451870520481596486e+03,1.000077605247497559e+00
1.451891353784847524e+03,1.000058770179748535e+00
1.451912187086326412e+03,1.000955104827880859e+00
1.451933020386016324e+03,1.000646114349365234e+00
1.451953853683932721e+03,1.000911951065063477e+00
1.451974686980051274e+03,9.995973110198974609e-01
1.451995520274390628e+03,1.000545024871826172e+00
1.452016353566928956e+03,1.000166177749633789e+00
1.452037186857676033e+03,1.000553369522094727e+00
1.452078853433812128e+03,9.997214078903198242e-01
1.452099686719205238e+03,1.000238418579101562e+00
1.452120520002815738e+03,1.000059723854064941e+00
1.452141353284636807e+03,1.000496625900268555e+00
1.452162186564684589e+03,1.000152349472045898e+00
1.452183019842972271e+03,1.000355124473571777e+00
1.452203853119485530e+03,1.000529646873474121e+00
1.452224686394250966e+03,9.998819828033447266e-01
1.452245519667254257e+03,1.000520825386047363e+00
1.452266352938521095e+03,1.000065565109252930e+00
1.452287186208038747e+03,1.000420331954956055e+00
1.452328852741894934e+03,1.000580072402954102e+00
1.452349686006247111e+03,1.000341296195983887e+00
1.452370519268879207e+03,1.000152349472045898e+00
1.452391352529818278e+03,1.000259280204772949e+00
1.452433019046608706e+03,1.000208735466003418e+00
1.452453852302475525e+03,9.997134208679199219e-01
1.452474685556680242e+03,1.000448107719421387e+00
1.452495518809211944e+03,9.997975230216979980e-01
1.452516352060097461e+03,9.996756315231323242e-01
1.452537185309324514e+03,1.000384926795959473e+00
1.452558018556922207e+03,1.000419259071350098e+00
1.452578851802878035e+03,1.000287532806396484e+00
1.452599685047219509e+03,1.000383138656616211e+00
1.452620518289934353e+03,1.000000953674316406e+00
1.452641351531041664e+03,9.997300505638122559e-01
1.452662184770558270e+03,1.000433802604675293e+00
1.452683018008481440e+03,9.997912645339965820e-01
